url,status,canonical,title,description,main_text_words
https://artka.dev/,200,https://artka.dev/,"Claude Code, LLM-агенты и backend — Artyom Kashuta | artka.dev","Artyom Kashuta — Full-stack & AI engineer. Заметки про Claude Code, LLM-агентов, RAG-пайплайны и production backend. Курс Claude Code Guide — 14 уроков.",45
https://artka.dev/about/,200,https://artka.dev/about/,Обо мне | artka.dev,"Artyom Kashuta — Full-stack & AI engineer. 5+ лет в backend, AI-автоматизациях и распределённых системах. LangGraph, LangChain, Claude Code, Anthropic/OpenAI/Gemini APIs.",501
https://artka.dev/blog/,200,https://artka.dev/blog/,Статьи | artka.dev,"Все заметки про Claude Code, AI-агентов, RAG-пайплайны и production backend от Artyom Kashuta.",178
https://artka.dev/blog/claude-md-12-rules/,200,https://artka.dev/blog/claude-md-12-rules/,12 правил для CLAUDE.md: расширение Karpathy на ошибки 2026 года | artka.dev,"Mnilax протестировал 12 правил для CLAUDE.md на 30 кодовых базах за 6 недель — расширение шаблона Karpathy на agent-loops, чекпойнты и fail-loud. Разбор и рамка применения.",1591
https://artka.dev/blog/json-ld-graph-astro/,200,https://artka.dev/blog/json-ld-graph-astro/,JSON-LD @graph в Astro: от дублирующихся inline-блоков к единому citable-узлу | artka.dev,"Пошаговый разбор миграции с per-page Schema.org-блоков на единый @graph в BaseLayout: стабильные @id, ссылки между сущностями, articleBody-excerpt и FAQ.",2869
https://artka.dev/blog/local-coding-agent/,200,https://artka.dev/blog/local-coding-agent/,"ds4 от antirez: локальный coding agent на DeepSeek V4 Flash, который работает на MacBook | artka.dev","Создатель Redis за две недели написал инференс-движок только для одной модели — DeepSeek V4 Flash. 1M контекст, 26 t/s на M3 Max, KV-кэш на диске. Как это запустить и подключить к Claude Code.",2316
https://artka.dev/blog/mermaid-svg-playwright-build-time/,200,https://artka.dev/blog/mermaid-svg-playwright-build-time/,"Mermaid → SVG через Playwright на билд-тайме: холодный старт, кэш и стоимость SSG | artka.dev","Замеры реального Astro-блога с 32 Mermaid-диаграммами: холодный билд 11.6s, тёплый 6.3s. Где кэш, что делает Playwright, чем плохи альтернативы.",1764
https://artka.dev/blog/robots-txt-ai-crawlers-2026/,200,https://artka.dev/blog/robots-txt-ai-crawlers-2026/,"robots.txt в эпоху AI-краулеров: GPTBot, ClaudeBot, PerplexityBot — реальность 2026 | artka.dev","В 2026 robots.txt — это не «запретить ботам всё» и не «открыть всё», а политика по каждому из 9+ именованных агентов. Реальный шаблон, таблица решений и грабли.",2168
https://artka.dev/contact/,200,https://artka.dev/contact/,Контакты | artka.dev,"Как связаться с Artyom Kashuta по вопросам статей, AI-агентов, Claude Code и engineering-проектов.",232
https://artka.dev/courses/claude-code-guide/,200,https://artka.dev/courses/claude-code-guide/,Claude Code Guide | artka.dev,"Курс из 14 уроков про устройство Claude Code изнутри: harness, context window, prompt cache, skills, hooks, MCP, subagents, модели, антипаттерны. Со сквозным примером Travel Agent.",328
https://artka.dev/courses/claude-code-guide/01-introduction/,200,https://artka.dev/courses/claude-code-guide/01-introduction/,"1. 01. Что такое Claude Code: harness, agent loop и ваше место в нём — Claude Code Guide | artka.dev","Claude Code — это harness вокруг LLM, а не сама модель. Модель решает, какой tool вызвать; harness исполняет, возвращает результат и ведёт agent loop до финального ответа.",683
https://artka.dev/courses/claude-code-guide/02-context-and-cache/,200,https://artka.dev/courses/claude-code-guide/02-context-and-cache/,2. 02. Контекстное окно и prompt cache — Claude Code Guide | artka.dev,"Контекстное окно — это и деньги, и качество. Стандарт Opus/Sonnet 4.6 — 200k токенов; 1M доступен через alias opus[1m]/sonnet[1m]. Prompt cache режет счёт в 10 раз, но живёт всего 5 минут по умолчанию.",1253
https://artka.dev/courses/claude-code-guide/03-claude-md/,200,https://artka.dev/courses/claude-code-guide/03-claude-md/,"3. 03. CLAUDE.md: уровни, импорты, авто-память — Claude Code Guide | artka.dev","CLAUDE.md — это «paste this every time» в красивой обёртке: автоматический префикс для каждой сессии. У него пять уровней (managed, user, project, local, subdirectory), они конкатенируются, а не перезаписывают друг друга.",1480
https://artka.dev/courses/claude-code-guide/04-skills/,200,https://artka.dev/courses/claude-code-guide/04-skills/,"4. 04. Skills: SKILL.md, scripts, references — Claude Code Guide | artka.dev","Skill — это директория с SKILL.md и опциональными scripts/references/templates, а не один markdown-файл. Краткое описание скилла попадает в каждый запрос; полный SKILL.md «раскрывается» только когда задача подходит.",1660
https://artka.dev/courses/claude-code-guide/05-hooks/,200,https://artka.dev/courses/claude-code-guide/05-hooks/,5. 05. Hooks: детерминированный контроль над agent loop — Claude Code Guide | artka.dev,"Hooks — это git hooks для Claude Code: точки в lifecycle, в которых harness гарантированно исполнит ваш скрипт. В Claude Code v2.1.89 их 28+ событий, exit code 2 блокирует действие модели, JSON-ответ {""action"":""block""} делает то же.",1639
https://artka.dev/courses/claude-code-guide/06-mcp/,200,https://artka.dev/courses/claude-code-guide/06-mcp/,6. 06. MCP-серверы — Claude Code Guide | artka.dev,"MCP (Model Context Protocol) — «USB-C для AI-интеграций»: пишете сервер один раз, его потребляют Claude Code, Claude Desktop, Cursor, Continue, custom SDK. Три транспорта (stdio, SSE, HTTP); экспортируются tools, resources, prompts, elicitation.",1758
https://artka.dev/courses/claude-code-guide/07-plugins/,200,https://artka.dev/courses/claude-code-guide/07-plugins/,7. 07. Plugins: упаковка skills + hooks + agents + MCP — Claude Code Guide | artka.dev,"Plugin — npm-пакет для Claude Code: упаковка skills, hooks, subagents, slash-команд и MCP-конфига в одну версионируемую сущность. Манифест .claude-plugin/plugin.json, установка через /plugin install, маркетплейсы.",801
https://artka.dev/courses/claude-code-guide/08-tool-calls-and-loop/,200,https://artka.dev/courses/claude-code-guide/08-tool-calls-and-loop/,8. 08. Tool calls и agent loop под капотом — Claude Code Guide | artka.dev,"Tool call — фундаментальный механизм, превращающий LLM из чат-бота в агента. Модель возвращает не текст, а tool_use block; harness исполняет вызов и возвращает tool_result. Поняв этот цикл, вы понимаете 80% работы любого AI-агента.",1015
https://artka.dev/courses/claude-code-guide/09-subagents/,200,https://artka.dev/courses/claude-code-guide/09-subagents/,9. 09. Subagents: изолированные агентные циклы — Claude Code Guide | artka.dev,"Subagent — мини-сессия Claude Code со своим контекстом и system prompt. В основной контекст возвращается только финальный summary. Это спасение от переполнения окна на browse-heavy задачах и причина неожиданных счетов, если запускать их без меры.",1578
https://artka.dev/courses/claude-code-guide/10-agent-teams/,200,https://artka.dev/courses/claude-code-guide/10-agent-teams/,10. 10. Agent Teams (экспериментально) — Claude Code Guide | artka.dev,"Если subagents — это «отправил помощника в командировку, дождался результата», то Agent Teams — это «собрал команду из нескольких разработчиков, дал им task list и они работают параллельно, ",884
https://artka.dev/courses/claude-code-guide/11-models-and-pricing/,200,https://artka.dev/courses/claude-code-guide/11-models-and-pricing/,11. 11. Модели и pricing — Claude Code Guide | artka.dev,"Выбор модели — компромисс скорость/стоимость/качество, а не «всегда Opus». Cache read стоит 0.1× input (10× дешевле), output ~5× input. Opus 4.7 имеет новый токенизатор (+35% токенов на тех же текстах), на Bedrock/Vertex дефолтные алиасы сдвинуты на версию назад.",977
https://artka.dev/courses/claude-code-guide/12-travel-agent-blueprint/,200,https://artka.dev/courses/claude-code-guide/12-travel-agent-blueprint/,12. 12. Travel Agent с нуля: blueprint — Claude Code Guide | artka.dev,"Сводим всё вместе. Один реальный проект. Один монорепо. Конкретные файлы, конфиги, структура. Дальше уже копипастите и адаптируете.",2371
https://artka.dev/courses/claude-code-guide/13-best-practices/,200,https://artka.dev/courses/claude-code-guide/13-best-practices/,13. 13. Best practices: ежедневная рутина и антипаттерны — Claude Code Guide | artka.dev,"Все предыдущие главы — про механику. Эта — про дисциплину. Без неё даже идеальная конфигурация со временем превращается в свалку: кэш мимо, скиллы протухли, hooks падают молча, а вы не поним",1487
https://artka.dev/courses/claude-code-guide/14-claims-verification/,200,https://artka.dev/courses/claude-code-guide/14-claims-verification/,14. 14. Проверка утверждений из исходного треда — Claude Code Guide | artka.dev,"Эта глава — построчный разбор тех ~20 пунктов, с которых началась подготовка гайда. Каждое утверждение проверено по официальной документации (`docs.claude.com`, `code.claude.com/docs`), chan",1669
https://artka.dev/en/,200,https://artka.dev/en/,"Claude Code, LLM agents, and backend — Artyom Kashuta | artka.dev","Artyom Kashuta — Full-stack & AI engineer. Notes on Claude Code, LLM agents, RAG pipelines, and production backend. Claude Code Guide course — 14 lessons.",44
https://artka.dev/en/about/,200,https://artka.dev/en/about/,About me | artka.dev,"Artyom Kashuta — Full-stack & AI engineer. 5+ years in backend, AI automation and distributed systems. LangGraph, LangChain, Claude Code, Anthropic/OpenAI/Gemini APIs.",514
https://artka.dev/en/blog/,200,https://artka.dev/en/blog/,Articles | artka.dev,"All notes on Claude Code, AI agents, RAG pipelines and production backend by Artyom Kashuta.",191
https://artka.dev/en/blog/claude-md-12-rules/,200,https://artka.dev/en/blog/claude-md-12-rules/,12 Rules for CLAUDE.md: Extending Karpathy for 2026 Failure Modes | artka.dev,"Mnilax tested 12 CLAUDE.md rules across 30 codebases over six weeks, extending Karpathy's template for agent loops, checkpoints, and fail-loud behavior. This article explains the evidence.",1785
https://artka.dev/en/blog/json-ld-graph-astro/,200,https://artka.dev/en/blog/json-ld-graph-astro/,JSON-LD @graph in Astro: from duplicated inline-blocks to a single citable-node | artka.dev,"Step-by-step breakdown of migration from per-page Schema.org-blocks to a single @graph in BaseLayout: stable @id, entity references, articleBody-excerpt and FAQ.",3122
https://artka.dev/en/blog/local-coding-agent/,200,https://artka.dev/en/blog/local-coding-agent/,ds4 by antirez: local coding agent on DeepSeek V4 Flash that runs on MacBook | artka.dev,"The creator of Redis wrote an inference engine in two weeks for just one model — DeepSeek V4 Flash. 1M context, 26 t/s on M3 Max, KV-cache on disk. How to run it and connect it to Claude Code.",2561
https://artka.dev/en/blog/mermaid-svg-playwright-build-time/,200,https://artka.dev/en/blog/mermaid-svg-playwright-build-time/,"Mermaid → SVG via Playwright at build time: cold start, cache, and SSG cost | artka.dev","Real measurements from an Astro blog with 32 Mermaid diagrams: cold build 11.6s, warm 6.3s. Where the cache is, what Playwright does, why alternatives are worse.",1948
https://artka.dev/en/blog/robots-txt-ai-crawlers-2026/,200,https://artka.dev/en/blog/robots-txt-ai-crawlers-2026/,"robots.txt in the age of AI crawlers: GPTBot, ClaudeBot, PerplexityBot — reality 2026 | artka.dev","In 2026, robots.txt is not 'forbid all bots' or 'allow everything', but a policy for each of 9+ named agents. Real template, decision table, and pitfalls.",2448
https://artka.dev/en/contact/,200,https://artka.dev/en/contact/,Contact | artka.dev,"How to contact Artyom Kashuta about articles, AI agents, Claude Code, and engineering projects.",271
https://artka.dev/en/courses/claude-code-guide/,200,https://artka.dev/en/courses/claude-code-guide/,Claude Code Guide | artka.dev,"A 14-lesson course on Claude Code internals: harness, context window, prompt cache, skills, hooks, MCP, subagents, models, anti-patterns. Built around an end-to-end Travel Agent example.",357
